No. of Tasks,Thread Row,Thread Column,Thread Row Kth,Thread Pool(2) Row,Thread Pool(2) Column,Thread Pool(2) Row Kth,Thread Pool(5) Row,Thread Pool(5) Column,Thread Pool(5) Row Kth,Thread Pool(10) Row,Thread Pool(10) Column,Thread Pool(10) Row Kth
1,37838100,3748800,3933600,8292000,3445800,3496200,907400,1074400,546000,824100,950600,587500
2,933400,1757800,1831800,880700,950000,1094500,1647800,816200,728300,936000,2030500,1044400
3,1597400,1816700,1294300,651000,585200,627000,952100,1194900,1408200,1052300,653200,1984500
4,1838600,4509000,2507400,700000,677500,3520600,1538600,1325700,1633700,1923300,2246400,1063200
5,2074200,3857200,2497300,610900,550100,1483600,3377000,1303700,1093000,1920400,4734300,1112400
6,7180000,4727100,4709900,986200,2010500,1415800,1452800,1845200,5143600,2219400,1886000,1654400
7,3762200,5951000,3663100,1947600,1522100,2034100,1438900,5643900,1782600,2740600,2484500,2231100
8,5375700,8538800,7776900,2409000,5289400,2128300,1081100,1762700,2443100,1590700,4223400,3326000
9,11871300,5825600,6030300,505700,529400,494300,3068900,2385000,1134200,3589900,4129300,1624200
10,3270700,2904800,3154500,570300,488800,486000,917500,1177500,1090700,3163700,3399000,1674700
11,5764600,2906000,2486300,1106300,838400,729400,2978400,2464500,2624200,2570700,2622800,2902400
12,4430200,10844500,4769400,1120600,1056300,3572100,2050000,1211800,990800,1762600,2099800,5114800
